file path,created,last accessed,last modified,
\.classpath,2016-07-02 19:48:47.721984-05,2016-07-02 19:48:47.721984-05,2016-07-02 23:00:40.357441-05,
\.git\COMMIT_EDITMSG,2016-07-03 19:04:56.539004-05,2016-07-03 19:04:56.539004-05,2016-07-03 19:04:56.545015-05,
\.git\config,2016-07-03 19:04:56.273557-05,2016-07-03 19:04:56.285076-05,2016-07-03 19:04:56.286078-05,
\.git\description,2016-07-03 19:04:56.261036-05,2016-07-03 19:04:56.261036-05,2016-07-03 19:04:56.262038-05,
\.git\HEAD,2016-07-03 19:04:56.286579-05,2016-07-03 19:04:56.286579-05,2016-07-03 19:04:56.287079-05,
\.git\hooks\README.sample,2016-07-03 19:04:56.262538-05,2016-07-03 19:04:56.262538-05,2016-07-03 19:04:56.267045-05,
\.git\index,2016-07-03 19:04:56.376225-05,2016-07-03 19:04:57.214893-05,2016-07-03 19:04:57.224909-05,
\.git\info\exclude,2016-07-03 19:04:56.267045-05,2016-07-03 19:04:56.267045-05,2016-07-03 19:04:56.272556-05,
\.git\logs\HEAD,2016-07-03 19:04:56.566049-05,2016-07-03 19:04:56.566049-05,2016-07-03 19:04:56.567049-05,
\.git\logs\refs\heads\master,2016-07-03 19:04:56.560038-05,2016-07-03 19:04:56.560038-05,2016-07-03 19:04:56.565547-05,
\.git\objects\4e\007610d905bd04d2779c5eed42baf4882da8d9,2016-07-03 19:04:56.525481-05,2016-07-03 19:04:56.525481-05,2016-07-03 19:04:56.529989-05,
\.git\objects\99\32ee19ecc84e38758996ff260ca0d4951c94de,2016-07-03 19:04:56.546516-05,2016-07-03 19:04:56.546516-05,2016-07-03 19:04:56.551024-05,
\.git\objects\bd\b0cabc87cf50106df6e15097dff816c8c3eb34,2016-07-03 19:04:56.377727-05,2016-07-03 19:04:56.377727-05,2016-07-03 19:04:56.378728-05,
\.git\objects\cd\2946ad76b4402e5b3cab9243a9281aad228670,2016-07-03 19:04:56.450353-05,2016-07-03 19:04:56.450353-05,2016-07-03 19:04:56.454866-05,
\.git\refs\heads\master,2016-07-03 19:04:56.553027-05,2016-07-03 19:04:56.553027-05,2016-07-03 19:04:56.559036-05,
\.gitattributes,2016-07-03 19:04:56.300110-05,2016-07-03 19:04:56.300110-05,2016-07-03 19:04:56.301101-05,
\.gitignore,2016-07-03 19:04:56.300601-05,2016-07-03 19:04:56.300601-05,2016-07-03 19:04:56.314624-05,
\.project,2016-07-02 19:48:47.329340-05,2016-07-02 19:48:47.329340-05,2016-07-02 19:48:47.504137-05,
\.settings\org.eclipse.jdt.core.prefs,2016-07-02 19:48:47.614816-05,2016-07-02 19:48:47.614816-05,2016-07-03 17:27:45.929136-05,
\bin\FileChooser.class,2016-07-02 19:57:16.468808-05,2016-07-03 17:29:20.558872-05,2016-07-03 17:29:20.595433-05,
\bin\FileIndexer.class,2016-07-02 19:50:41.922135-05,2016-07-03 17:29:20.672058-05,2016-07-03 19:11:14.867186-05,
\bin\SimpleOutput.class,2016-07-02 19:57:53.996843-05,2016-07-03 17:29:20.706616-05,2016-07-03 17:29:20.727149-05,
\bin\SimplePictureProperties.txt,2016-07-03 19:13:49.921655-05,2016-07-03 19:13:49.921655-05,2016-07-03 19:13:49.974746-05,
\README.md,2016-07-03 17:39:22.287018-05,2016-07-03 17:39:22.287018-05,2016-07-03 19:11:00.133291-05,
\src\FileChooser.java,2016-07-02 19:57:15.909394-05,2016-07-02 19:57:15.909394-05,2016-05-06 17:44:10.707-05,
\src\FileIndexer.java,2016-07-02 19:50:40.515824-05,2016-07-02 19:50:40.515824-05,2016-07-03 19:11:14.593399-05,
\src\SimpleOutput.java,2016-07-02 19:57:53.645769-05,2016-07-02 19:57:53.645769-05,2016-05-06 17:47:27.956-05,
